Name,Author,User Rating,Reviews,Genre,Price,Year
Life,Keith Richards,4.5,2752,Non Fiction,18,2010
Little Bee: A Novel,Chris Cleave,4.1,1467,Fiction,10,2010
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,Fiction,8,2010
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,Non Fiction,20,2010
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,Fiction,2,2010
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2010
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,Non Fiction,9,2010
Sarah's Key,Tatiana de Rosnay,4.6,3619,Fiction,10,2010
Sh*t My Dad Says,Justin Halpern,4.7,1265,Non Fiction,11,2010
StrengthsFinder 2.0,Gallup,4.0,5069,Non Fiction,17,2010
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,Non Fiction,13,2010
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,Non Fiction,20,2010
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,Non Fiction,28,2010
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,Fiction,10,2010
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,Non Fiction,17,2010
The Confession: A Novel,John Grisham,4.3,3523,Fiction,13,2010
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,Non Fiction,11,2010
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,Non Fiction,6,2010
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,Fiction,14,2010
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,Fiction,9,2010
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,Fiction,2,2010
The Help,Kathryn Stockett,4.8,13871,Fiction,6,2010
The Hunger Games,Suzanne Collins,4.7,32122,Fiction,14,2010
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,Non Fiction,13,2010
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,Fiction,7,2010
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,Fiction,14,2010
The Official SAT Study Guide,The College Board,4.4,1201,Non Fiction,40,2010
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,Fiction,12,2010
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,Non Fiction,14,2010
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,Fiction,0,2010
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,Fiction,12,2010
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,Non Fiction,11,2010
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,Fiction,21,2010
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,Non Fiction,16,2010
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,Non Fiction,11,2010
11/22/63: A Novel,Stephen King,4.6,2052,Fiction,22,2011
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,Fiction,11,2011
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,Non Fiction,32,2011
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,Fiction,0,2011
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,Fiction,11,2011
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,Non Fiction,14,2011
Cutting for Stone,Abraham Verghese,4.6,4866,Fiction,11,2011
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094,Fiction,4,2011
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,Non Fiction,9,2011
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2011
Go the F**k to Sleep,Adam Mansbach,4.8,9568,Fiction,9,2011
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2011
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,Non Fiction,10,2011
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,Non Fiction,21,2011
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,Fiction,20,2011
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2011
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,Non Fiction,10,2011
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,Non Fiction,13,2011
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,Fiction,8,2011
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,Non Fiction,13,2011
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2011
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,Non Fiction,9,2011
Steve Jobs,Walter Isaacson,4.6,7827,Non Fiction,20,2011
StrengthsFinder 2.0,Gallup,4.0,5069,Non Fiction,17,2011
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,Non Fiction,20,2011
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,Non Fiction,22,2011
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,Non Fiction,21,2011
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,Non Fiction,28,2011
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,Non Fiction,24,2011
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,Fiction,10,2011
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,Non Fiction,21,2011
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,Non Fiction,15,2011
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,Non Fiction,6,2011
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,Fiction,14,2011
The Help,Kathryn Stockett,4.8,13871,Fiction,8,2011
The Help,Kathryn Stockett,4.8,13871,Fiction,7,2011
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,Fiction,8,2011
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,Fiction,30,2011
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,Non Fiction,9,2011
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,Non Fiction,13,2011
The Litigators,John Grisham,4.4,6222,Fiction,18,2011
The Official SAT Study Guide,The College Board,4.4,1201,Non Fiction,40,2011
The Paris Wife: A Novel,Paula McLain,4.3,3759,Fiction,16,2011
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,Fiction,10,2011
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,Fiction,10,2011
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,Non Fiction,19,2011
Tina Fey: Bossypants,Tina Fey,4.3,5977,Non Fiction,12,2011
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,Non Fiction,16,2011
Water for Elephants: A Novel,Sara Gruen,4.5,8958,Fiction,12,2011
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,Non Fiction,9,2011
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,Non Fiction,24,2012
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,Fiction,11,2012
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,Non Fiction,9,2012
